146,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=nKBW2jy4Yyc&list=PLmu_y3-DV2_k-Tnu_L-uZ8FMbTWGce-ED&index=6                                                                          ,09:40               ,2022-10-01,1
147,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=nKBW2jy4Yyc&list=PLmu_y3-DV2_k-Tnu_L-uZ8FMbTWGce-ED&index=6                                                                          ,09:40               ,2022-10-01,2
148,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=spUNpyF58BY                                                                                                                          ,09:40               ,2022-10-02,1
150,Проектная практика                                                                                                                                                                                      ,Применение основных принципов модернизации сети в GP на примере. Острейко                                                                                                                               ,11:45               ,2022-09-12,2
151,Проектная практика                                                                                                                                                                                      ,ОБЕД                                                                                                                                                                                                    ,12:45               ,2022-09-12,2
152,Проектная практика                                                                                                                                                                                      ,Применение основных принципов модернизации сети в GP на примере. Практическая работа индивидуальная/в группах:                                                                                          ,13:45               ,2022-09-12,2
153,Проектная практика                                                                                                                                                                                      ,Применение основных принципов модернизации сети в GP на примере. Практическая работа индивидуальная/в группах:                                                                                          ,15:45               ,2022-09-12,2
154,Проектная практика                                                                                                                                                                                      ,Занятие 11. Выполнение проекта Telarm. Практическая работа индивидуальная/в группах                                                                                                                     ,10:00               ,2022-09-14,2
155,Проектная практика                                                                                                                                                                                      ,Занятие 11. Выполнение проекта Telarm. Практическая работа индивидуальная/в группах                                                                                                                     ,11:15               ,2022-09-14,2
156,Проектная практика                                                                                                                                                                                      ,ОБЕД                                                                                                                                                                                                    ,12:45               ,2022-09-12,2
157,Проектная практика                                                                                                                                                                                      ,Занятие 11. Выполнение проекта Telarm. Практическая работа индивидуальная/в группах:                                                                                                                    ,13:45               ,2022-09-14,2
158,Проектная практика                                                                                                                                                                                      ,Занятие 11. Выполнение проекта Telarm. Практическая работа индивидуальная/в группах:                                                                                                                    ,15:45               ,2022-09-14,2
159,Проектная практика                                                                                                                                                                                      ,Занятие 12. Аттестация по обучению моделирования и модернизации технологии 1.0 и 2.0.                                                                                                                   ,10:00               ,2022-09-15,2
160,Проектная практика                                                                                                                                                                                      ,Занятие 12. Аттестация по обучению моделирования и модернизации технологии 1.0 и 2.0.                                                                                                                   ,11:15               ,2022-09-15,2
30,Проектная практика                                                                                                                                                                                      ,"Занятие 5. Ввод параметров сети. Занятия ведут: Гоманова, Острейко                                                                                                                                      ",10:10               ,2022-09-07,2
37,Проектная практика                                                                                                                                                                                      ,Занятие 7. Практическая работа в GeoProject AS IS по вариантам (Ввод параметров сети) Занятия ведут: Кислюк Юлия Мартиновна                                                                             ,13:45               ,2022-09-08,2
161,Проектная практика                                                                                                                                                                                      ,ОБЕД                                                                                                                                                                                                    ,12:45               ,2022-09-12,2
162,Проектная практика                                                                                                                                                                                      ,Занятие 12. Аттестация по обучению моделирования и модернизации технологии 1.0 и 2.0.                                                                                                                   ,13:45               ,2022-09-15,2
163,Проектная практика                                                                                                                                                                                      ,Занятие 12. Аттестация по обучению моделирования и модернизации технологии 1.0 и 2.0.                                                                                                                   ,15:45               ,2022-09-15,2
164,Проектная практика                                                                                                                                                                                      ,Занятие 10. Методика выполнения проектов Telarm. Методика (процесс) матричного выполнения проектов автоматизация в технологии 1.0                                                                       ,10:00               ,2022-09-13,2
165,Проектная практика                                                                                                                                                                                      ,Занятие 10. Методика выполнения проектов Telarm. Программный комплекс TELARM                                                                                                                            ,11:15               ,2022-09-13,2
166,Проектная практика                                                                                                                                                                                      ,ОБЕД                                                                                                                                                                                                    ,12:45               ,2022-09-13,2
167,Проектная практика                                                                                                                                                                                      ,Занятие 11. Выполнение проекта Telarm.                                                                                                                                                                  ,13:45               ,2022-09-13,2
168,Проектная практика                                                                                                                                                                                      ,Занятие 11. Выполнение проекта Telarm.                                                                                                                                                                  ,15:45               ,2022-09-13,2
169,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",14:00               ,2022-09-12,1
170,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",15:40               ,2022-09-12,1
171,Собеседование с целью трудоустройства в ООО ПНПЕ                                                                                                                                                        ,"Руководители проектных направлений: Крестьянинов Денис Андреевич, Баландин Денис Александрович                                                                                                          ",14:00               ,2022-09-14,1
172,Собеседование с целью трудоустройства в ООО ПНПЕ                                                                                                                                                        ,"Руководители проектных направлений: Крестьянинов Денис Андреевич, Баландин Денис Александрович                                                                                                          ",14:00               ,2022-09-14,2
173,Программное обеспечение математического моделирования                                                                                                                                                   ,"Лекционно-практические, в ауд. 2.3, ведет преп. СПбГУ Марковский Павел Юрьевич                                                                                                                          ",09:30               ,2022-09-22,1
